2023-04-13 23:38:31,365 's'
2023-04-13 23:38:31,828 'a'
2023-04-13 23:38:32,096 'd'
2023-04-13 23:38:32,157 's'
2023-04-13 23:38:32,247 'a'
2023-04-13 23:38:32,369 'd'
2023-04-13 23:38:32,500 's'
2023-04-13 23:38:32,522 'a'
2023-04-13 23:38:32,681 'd'
2023-04-13 23:38:32,768 's'
2023-04-13 23:38:32,788 'a'
2023-04-13 23:38:32,935 'd'
2023-04-13 23:38:33,036 's'
2023-04-13 23:38:33,045 'a'
2023-04-13 23:38:36,392 Key.ctrl_l
2023-04-13 23:38:36,619 '\x1a'
2023-04-13 23:38:37,196 Key.ctrl_l
2023-04-13 23:38:37,288 '\x03'
2023-04-13 23:38:37,439 '\x03'
2023-04-13 23:40:53,671 's'
2023-04-13 23:40:54,108 'a'
2023-04-13 23:40:54,212 'd'
2023-04-13 23:40:54,402 'a'
2023-04-13 23:40:54,425 's'
2023-04-13 23:40:54,573 'd'
2023-04-13 23:40:54,673 's'
2023-04-13 23:40:54,683 'a'
